"DBA","BORO","STREET","ZIPCODE","CUISINE.DESCRIPTION","INSPECTION.DATE","ACTION","VIOLATION.CODE","VIOLATION.DESCRIPTION","CRITICAL.FLAG","SCORE","GRADE","GRADE.DATE","RECORD.DATE","INSPECTION.TYPE","X1","X2"
"SILVER STAR RESTAURANT","MANHATTAN","2 AVENUE",10065,"American","12/23/2013","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",10,"A","12/23/2013","04/23/2017","Cycle Inspection / Re-inspection",-73.9815601,40.7690691
"JEAN GEORGES","MANHATTAN","CENTRAL PARK WEST",10023,"French","04/15/2015","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",10,"A","04/15/2015","04/23/2017","Cycle Inspection / Initial Inspection",-73.9932293,40.7415441
"DON GIOVANNI","MANHATTAN","WEST   44 STREET",10036,"Pizza/Italian","06/01/2015","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",13,"A","06/01/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.9827085,40.7616995
"BISTRO CATERERS","MANHATTAN","WEST   51 STREET",10019,"American","06/17/2016","Violations were cited in the following area(s).","06F","Wiping cloths soiled or not stored in sanitizing solution.","Critical",7,"A","06/17/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.9970514,40.7191289
"FERRARA'S","MANHATTAN","GRAND STREET",10013,"Bakery","06/17/2016","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",22,"B","06/17/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.970707,40.751574
"VERO","MANHATTAN","2ND AVE",10075,"Italian","06/14/2016","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",9,"A","06/14/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.98458,40.7527
"BAR MISHIMA","MANHATTAN","EAST   52 STREET",10022,"Japanese","10/05/2016","Violations were cited in the following area(s).","06F","Wiping cloths soiled or not stored in sanitizing solution.","Critical",13,"A","10/05/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.9554722,40.7750002
"LITTLE ITALY PIZZA","MANHATTAN","PARK PLACE",10007,"Pizza","01/06/2014","Violations were cited in the following area(s).","06B","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.","Critical",10,"A","01/06/2014","04/23/2017","Cycle Inspection / Initial Inspection",-73.9913401,40.7250127
"ALICE'S TEA CUP","MANHATTAN","EAST   81 STREET",10028,"American","03/03/2015","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",19,"B","03/03/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.9703292,40.7598294
"RED HOOK LOBSTER POUND","MANHATTAN","EXTRA PL",10003,"Seafood","05/13/2014","No violations were recorded at the time of this inspection.","","","Not Applicable",0,"A","05/13/2014","04/23/2017","Pre-permit (Operational) / Initial Inspection",-74.0015885,40.7291324
"3 DELI & GRILL","MANHATTAN","EAST   55 STREET",10022,"American","09/19/2016","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",12,"A","09/19/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.9591388,40.774342
"WRAP N RUN GRILL","MANHATTAN","LEXINGTON AVENUE",10075,"American","04/13/2017","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",11,"A","04/13/2017","04/23/2017","Cycle Inspection / Initial Inspection",-74.0034023,40.733221
"AUNTIE ANNE'S PRETZELS","MANHATTAN","8 AVENUE",10036,"Hotdogs/Pretzels","03/30/2015","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",10,"A","03/30/2015","04/23/2017","Cycle Inspection / Initial Inspection",-73.9814042,40.7508462
"MUSEUM OF SEX/PLAY","MANHATTAN","5TH AVENUE, UPPER LEVEL",10016,"American","02/27/2015","Violations were cited in the following area(s).","05D","Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.","Critical",12,"A","02/27/2015","04/23/2017","Cycle Inspection / Initial Inspection",-74.00317,40.7235394
"MARIES CRISIS CAFE","MANHATTAN","GROVE STREET",10014,"American","02/24/2017","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",11,"A","02/24/2017","04/23/2017","Cycle Inspection / Initial Inspection",-73.9932097,40.7429044
"ALIDORO","MANHATTAN","E 39TH ST",10016,"Italian","03/19/2015","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",5,"A","03/19/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.9910879,40.7343795
"AURORA SOHO","MANHATTAN","BROOME STREET",10013,"Italian","01/13/2016","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",7,"A","01/13/2016","04/23/2017","Cycle Inspection / Initial Inspection",-73.9725625,40.7862328
"GREAT BURRITO","MANHATTAN","W 23RD ST",10011,"Mexican","11/28/2016","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",8,"A","11/28/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.9842791,40.7398282
"MAX BRENNER","MANHATTAN","BROADWAY",10003,"American","10/05/2015","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",8,"A","10/05/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.996743,40.732439
"La Panineria","MANHATTAN","W 8TH ST",10011,"Italian","06/01/2015","Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",20,"B","06/01/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.990723,40.760616
"CARLOW EAST","MANHATTAN","LEXINGTON AVENUE",10028,"American","02/11/2014","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,"A","02/11/2014","04/23/2017","Cycle Inspection / Initial Inspection",-73.991941,40.752161
"CHLOE'S SOFT SERVE FRUIT CO.","MANHATTAN","EAST   17 STREET",10003,"Ice Cream, Gelato, Yogurt, Ices","07/20/2015","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,"A","07/20/2015","04/23/2017","Cycle Inspection / Initial Inspection",-74.0061607,40.7364111
"JACK DOYLES PUB & RESTAURANT","MANHATTAN","WEST   35 STREET",10001,"Irish","12/12/2016","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",13,"A","12/12/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.9885927,40.76445
"COLISEUM BAR RESTAURANT","MANHATTAN","WEST   58 STREET",10019,"American","03/10/2016","Violations were cited in the following area(s).","10D","Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.","Not Critical",12,"A","03/10/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.9931413,40.7350748
"KATRA","MANHATTAN","BOWERY",10002,"American","12/02/2014","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",12,"A","12/02/2014","04/23/2017","Cycle Inspection / Initial Inspection",-73.947425,40.805699
"MAYA","MANHATTAN","1 AVENUE",10065,"Mexican","09/17/2014","Violations were cited in the following area(s).","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Critical",13,"A","09/17/2014","04/23/2017","Cycle Inspection / Re-inspection",-73.952841,40.767587
"TANOSHI SUSHI SAKI BAR","MANHATTAN","YORK AVENUE",10021,"Japanese","03/03/2017","Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",9,"A","03/03/2017","04/23/2017","Cycle Inspection / Initial Inspection",-73.9812436,40.7821545
"MARK JOSEPH STEAKHOUSE","MANHATTAN","WATER STREET",10038,"Steak","04/30/2013","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",9,"A","04/30/2013","04/23/2017","Pre-permit (Operational) / Re-inspection",-73.9726719,40.7855246
"GREY LADY/GOA TACO/PARATHA TACO","MANHATTAN","DELANCEY STREET",10002,"American","12/17/2014","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,"A","12/17/2014","04/23/2017","Cycle Inspection / Re-inspection",-73.946028,40.8160858
"ABYSSINIA ETHIOPIAN RESTAURANT","MANHATTAN","WEST  135 STREET",10030,"Ethiopian","02/27/2014","Violations were cited in the following area(s).","04J","Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.","Critical",8,"A","02/27/2014","04/23/2017","Cycle Inspection / Initial Inspection",-73.9663903,40.7582221
"VOILA 76","MANHATTAN","2 AVENUE",10021,"Sandwiches/Salads/Mixed Buffet","04/22/2015","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",7,"A","04/22/2015","04/23/2017","Cycle Inspection / Re-inspection",-74.0144634,40.7175664
"HAKU","MANHATTAN","2ND AVE",10022,"Japanese","07/05/2016","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",10,"A","07/05/2016","04/23/2017","Pre-permit (Operational) / Re-inspection",-73.9832111,40.7441921
